label,disease_id,dataset
"Corn_(maize)_Cercospora_leaf_spot_Gray_leaf_spot",D_CORN_GLS,plantvillage
"Corn_(maize)_Northern_Leaf_Blight",D_CORN_NLB,plantvillage
"Corn_(maize)_Common_rust",D_CORN_RUST,plantvillage
"Corn_(maize)_healthy",H_CORN,plantvillage
"Tomato_Early_blight",D_TOMATO_EARLY_BLIGHT,plantvillage
"Tomato_Late_blight",D_TOMATO_LATE_BLIGHT,plantvillage
"Tomato_Septoria_leaf_spot",D_TOMATO_SEPTORIA,plantvillage
"Tomato_Leaf_Mold",D_TOMATO_LEAF_MOLD,plantvillage
"Tomato_Target_Spot",D_TOMATO_TARGET_SPOT,plantvillage
"Tomato_Bacterial_spot",D_TOMATO_BACTERIAL_SPOT,plantvillage
"Tomato_Spider_mites_Two-spotted_spider_mite",D_TOMATO_SPIDER_MITES,plantvillage
"Tomato_Tomato_Yellow_Leaf_Curl_Virus",D_TOMATO_TYLCV,plantvillage
"Tomato_Tomato_mosaic_virus",D_TOMATO_MOSAIC_VIRUS,plantvillage
"Tomato_healthy",H_TOMATO,plantvillage
"Potato_Early_blight",D_POTATO_EARLY_BLIGHT,plantvillage
"Potato_Late_blight",D_POTATO_LATE_BLIGHT,plantvillage
"Potato_healthy",H_POTATO,plantvillage
"Pepper,_bell_Bacterial_spot",D_PEPPER_BACTERIAL_SPOT,plantvillage
"Pepper,_bell_healthy",H_PEPPER_BELL,plantvillage
"Apple_Apple_scab",D_APPLE_SCAB,plantvillage
"Apple_Black_rot",D_APPLE_BLACK_ROT,plantvillage
"Apple_Cedar_apple_rust",D_APPLE_CEDAR_RUST,plantvillage
"Apple_healthy",H_APPLE,plantvillage
"Grape_Black_rot",D_GRAPE_BLACK_ROT,plantvillage
"Grape_Esca_(Black_Measles)",D_GRAPE_ESCA,plantvillage
"Grape_Leaf_blight_(Isariopsis_Leaf_Spot)",D_GRAPE_LEAF_BLIGHT,plantvillage
"Grape_healthy",H_GRAPE,plantvillage
"Cherry_(including_sour)_Powdery_mildew",D_CHERRY_POWDERY_MILDEW,plantvillage
"Cherry_(including_sour)_healthy",H_CHERRY,plantvillage
"Peach_Bacterial_spot",D_PEACH_BACTERIAL_SPOT,plantvillage
"Peach_healthy",H_PEACH,plantvillage
"Strawberry_Leaf_scorch",D_STRAWBERRY_LEAF_SCORCH,plantvillage
"Strawberry_healthy",H_STRAWBERRY,plantvillage
"Squash_Powdery_mildew",D_SQUASH_POWDERY_MILDEW,plantvillage
"Orange_Haunglongbing_(Citrus_greening)",D_ORANGE_HLB,plantvillage
"Soybean_healthy",H_SOYBEAN,plantvillage
"Blueberry_healthy",H_BLUEBERRY,plantvillage
"Raspberry_healthy",H_RASPBERRY,plantvillage
